date,Open,Q,H,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1636805100000,63601.80000000,63803.23000000,63586.01000000,63726.21000000,0.90608400,1636805399999,57698.90847404,205,0.84691300,53932.43765210,0
1636805400000,63708.58000000,63764.48000000,63599.10000000,63611.78000000,2.21344600,1636805699999,140891.27238251,350,2.11876300,134863.13110957,0
1636805700000,63611.87000000,63634.40000000,63537.58000000,63583.19000000,0.68380100,1636805999999,43476.90946083,202,0.60872700,38704.29964543,0
1636806000000,63579.99000000,66136.00000000,63500.01000000,63507.60000000,1.71904600,1636806299999,109851.11292305,241,1.43305400,91680.59064282,0
1636806300000,63500.01000000,63556.57000000,63500.01000000,63556.57000000,0.58050000,1636806599999,36880.34259506,162,0.53046400,33701.15908619,0
1636806600000,63556.57000000,66136.00000000,63470.20000000,63477.90000000,1.41036500,1636806899999,90027.39022376,248,1.06611500,68172.35807379,0
1636806900000,63479.58000000,63541.48000000,61592.98000000,63520.84000000,3.76485600,1636807199999,237388.59177908,368,2.26053200,142887.43940166,0
1636807200000,63520.31000000,63549.95000000,63504.99000000,63504.99000000,0.53058600,1636807499999,33705.57235581,132,0.51146800,32491.06412665,0
1636807500000,63498.62000000,63572.68000000,63427.86000000,63572.68000000,0.92156300,1636807799999,58521.01155967,220,0.86817700,55130.92024410,0
1636807800000,63579.38000000,63706.99000000,63482.59000000,63482.59000000,0.98851700,1636808099999,62883.05055572,279,0.92428900,58799.08104641,0
1636808100000,63481.65000000,63556.00000000,63478.37000000,63530.25000000,1.00934200,1636808399999,64111.31471341,281,0.78089000,49597.65670094,0
1636808400000,63530.26000000,63594.25000000,63486.01000000,63592.87000000,0.73604600,1636808699999,46780.62270011,183,0.69792400,44358.08058408,0
1636808700000,63585.00000000,63684.33000000,62576.11000000,63616.14000000,1.63764800,1636808999999,103652.32870186,212,0.60960200,38787.41148078,0
1636809000000,63617.96000000,63662.73000000,63610.01000000,63662.73000000,0.96438100,1636809299999,61380.30768951,186,0.95284600,60646.31688401,0
1636809300000,63662.73000000,63736.82000000,63586.82000000,63599.09000000,0.99209900,1636809599999,63172.29066259,203,0.72289700,46016.80583502,0
1636809600000,63598.97000000,63599.08000000,63556.48000000,63599.08000000,0.42890500,1636809899999,27270.10441715,150,0.39065100,24837.94895864,0
1636809900000,63590.43000000,66136.00000000,59090.21000000,63575.68000000,7.40751200,1636810199999,467522.00443753,627,3.91265400,250933.67457104,0
1636810200000,63575.68000000,63594.40000000,59090.21000000,63513.49000000,1.55925600,1636810499999,99012.94503557,253,1.30078800,82687.53461854,0
